fc_shield,,fc,,fc_center,,pl_shield,,pl,,pl_center,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
36.57236690068797,16.47869163304426,37.182688813022935,24.835407048092343,36.29067986422567,16.995117866558463,31.40810456554589,17.464596260662287,29.952721543824033,17.652387618303816,32.81653974785737,17.88712681535573
36.57236690068797,16.009213238940433,36.85405393715026,25.16404192396502,36.05594066717376,17.793231136534967,32.065374317291244,16.76037866950655,29.436295310309823,17.276804903020757,32.15926999611201,17.276804903020757
36.57236690068797,15.586682684246991,36.33762770363606,25.35183328160655,35.96204498835299,18.21576169122841,32.910435426678134,15.915317560119666,29.107660434437147,16.854274348327316,31.502000244366656,16.57258731186502
36.57236690068797,14.929412932501634,35.586462273069934,25.58657247865846,35.023088200145345,19.436405515898354,33.33296598137157,15.633630523657374,28.919869076795617,16.384795954223495,31.126417529083596,16.6195351512754
36.57236690068797,14.412986698987426,34.835296842503816,25.82131167571037,34.741401163683044,19.76504039177103,33.80244437547539,15.633630523657374,28.825973397974852,15.868369720709282,30.891678332031685,16.6195351512754
36.57236690068797,14.037403983704365,33.849392214885775,26.14994655158305,33.61465301783386,20.610101501157914,34.506661966631135,16.290900275402727,28.87292123738523,15.304995647784695,30.563043456159004,16.431743793633878
36.994897455381405,13.614873429010924,32.910435426678134,26.478581427455726,33.14517462373004,20.797892858799447,35.35172307601802,17.135961384789614,29.201556113257915,14.600778056628958,30.375252098517475,16.15005675717158
37.22963665243332,13.38013423195901,32.065374317291244,26.76026846391802,32.34706135375354,21.07957989526174,36.38457554304644,18.16881385181803,29.53019098913059,14.225195341345897,30.328304259107096,15.727526202478138
37.464375849485236,13.145395034907098,31.59589592318742,26.666372785097256,31.736739441418564,21.26737125290327,37.27658449184371,19.060822800615295,29.952721543824033,13.896560465473218,30.46914777733824,15.351943487195078
37.839958564768295,12.81676015903442,30.891678332031685,26.57247710627649,30.891678332031685,21.126527734672123,38.027749922409825,19.811988231181413,30.703886974390155,13.661821268421306,30.79778265321092,15.070256450732781
38.168593440640976,12.488125283161745,29.999669383234416,26.431633588045347,28.825973397974852,20.84484069820983,38.96670671061748,20.797892858799447,31.267261047314747,13.661821268421306,31.126417529083596,15.023308611322399
38.49722831651365,12.159490407289066,28.966816916206,26.290790069814197,28.35649500387103,20.422310143516384,39.90566349882512,21.689901807596712,31.736739441418564,13.755716947242071,31.455052404956277,15.164152129553548
38.87281103179671,11.83085553141639,27.793120930946436,26.102998712172663,27.652277412715293,19.95283174941256,40.93851596585353,22.722754274625128,32.206217835522395,13.990456144293983,31.6428437625978,15.304995647784695
39.154498068258995,11.502220655543711,26.90111198214917,25.96215519394152,26.995007660969936,19.48335335530874,41.83052491465081,23.614763223422397,32.675696229626226,14.366038859577044,31.78368728082895,15.492787005426225
39.43618510472129,11.2674814584918,26.71332062450764,25.82131167571037,26.71332062450764,18.873031442973762,42.816429542268835,24.60066785104043,33.0043311054989,14.882465093091252,31.877582959649715,15.680578363067756
40.09345485646665,11.032742261439887,26.431633588045347,25.63352031806884,26.290790069814197,18.121866012407644,43.473699294014196,25.257937602785784,33.14517462373004,15.258047808374313,31.877582959649715,16.103108917761197
40.703776768801625,10.798003064387974,25.77436383629999,25.16404192396502,25.915207354531134,17.417648421251908,44.553499600452994,26.33773790922458,33.2390703025508,15.680578363067756,31.877582959649715,16.243952435992345
41.22020300231583,10.563263867336062,24.506772172219662,24.27203297516775,25.82131167571037,17.276804903020757,45.116873673377576,26.995007660969936,33.61465301783386,16.009213238940433,32.065374317291244,16.47869163304426
41.78357707524042,10.375472509694532,23.286128347549717,23.38002402637048,25.82131167571037,16.6195351512754,,,34.22497493016884,16.57258731186502,32.48790487198469,16.854274348327316
42.25305546934425,10.187681152053,22.76970211403551,23.051389150497805,25.868259515120755,15.633630523657374,,,34.92919252132457,17.276804903020757,32.863487587267755,17.22985706361038
42.816429542268835,9.999889794411471,22.5349629169836,22.5349629169836,25.915207354531134,14.882465093091252,,,35.49256659424916,17.793231136534967,33.19212246314042,17.605439778893437
43.473699294014196,9.765150597359558,22.253275880521304,22.018536683469392,25.915207354531134,14.553830217218573,,,35.96204498835299,18.262709530638794,33.56770517842348,17.934074654766114
44.2718125639907,9.436515721486881,21.78379748641748,21.07957989526174,26.19689439099343,13.9435083048836,,,36.7601582583295,19.013874961204912,33.89634005429616,18.309657370049173
44.88213447632567,9.201776524434969,21.361266931724035,20.281466625285237,26.478581427455726,13.333186392548628,,,37.652167207126766,19.905883910002178,34.45971412722076,18.826083603563383
45.445508549250256,9.01398516679344,21.07957989526174,19.811988231181413,26.76026846391802,12.76981231962404,,,38.49722831651365,20.750945019389064,34.835296842503816,19.248614158256824
46.24362181922675,8.732298130331143,20.797892858799447,19.201666318846446,27.041955500380315,12.159490407289066,,,39.24839374707976,21.502110449955183,35.35172307601802,19.76504039177103
,,20.610101501157914,18.873031442973762,27.840068770356822,11.596116334364476,,,40.187350535287415,22.441067238162834,35.96204498835299,20.375362304106
,,20.610101501157914,18.54439656710109,28.49733852210218,11.126637940260652,,,40.93851596585353,23.098336989908187,36.57236690068797,20.985684216440976
,,20.610101501157914,18.21576169122841,28.732077719154088,10.985794422029505,,,41.54883787818851,23.70865890224316,37.182688813022935,21.596006128775947
