fc_shield,,fc,,fc_center,,pl_shield,,pl,
X,Y,X,Y,X,Y,X,Y,X,Y
,,22.58823529411765,25.529411764705884,21.23529411764706,27.882352941176475,,,13.705882352941178,25
,,23.64705882352941,26.705882352941174,22,28.647058823529413,,,13.705882352941178,25.764705882352942
,,25.117647058823533,28.294117647058826,22.705882352941178,29.58823529411765,,,13.705882352941178,26.529411764705884
,,26.176470588235293,29.411764705882355,23.705882352941178,30.529411764705884,,,13.76470588235294,27.352941176470587
,,,,24.58823529411765,31.35294117647059,,,13.76470588235294,28.11764705882353
,,,,25.41176470588235,32.05882352941176,,,13.76470588235294,28.764705882352946
,,,,26.176470588235293,32.8235294117647,,,13.823529411764707,29.705882352941178
,,,,26.705882352941174,33.235294117647065,,,13.823529411764707,30.470588235294116
,,,,,,,,13.823529411764707,31.058823529411768
,,,,,,,,13.823529411764707,31.82352941176471
,,,,,,,,13.823529411764707,32.88235294117647
,,,,,,,,13.823529411764707,33.94117647058824
,,,,,,,,13.823529411764707,34.64705882352941
,,,,,,,,13.882352941176471,35.47058823529412
,,,,,,,,13.882352941176471,36.1764705882353
,,,,,,,,13.882352941176471,37.23529411764706
,,,,,,,,13.882352941176471,38.05882352941176
,,,,,,,,13.882352941176471,38.82352941176471
,,,,,,,,14.823529411764707,38.82352941176471
,,,,,,,,14.823529411764707,37.88235294117647
,,,,,,,,14.882352941176471,36.588235294117645
,,,,,,,,14.823529411764707,35.1764705882353
,,,,,,,,14.823529411764707,33.58823529411765
,,,,,,,,14.823529411764707,32.529411764705884
,,,,,,,,14.823529411764707,30.823529411764707
,,,,,,,,14.764705882352944,29.058823529411768
,,,,,,,,14.764705882352944,27.764705882352942
,,,,,,,,14.764705882352944,26.647058823529413
,,,,,,,,14.764705882352944,25
,,,,,,,,14.764705882352944,24.000000000000004
,,,,,,,,14.764705882352944,23.529411764705884
,,,,,,,,15.058823529411766,23.11764705882353
,,,,,,,,15.470588235294118,22.58823529411765
,,,,,,,,15.647058823529413,22.058823529411768
,,,,,,,,15.823529411764707,21.47058823529412
,,,,,,,,15.764705882352944,20.529411764705884
,,,,,,,,15.764705882352944,20.058823529411764
,,,,,,,,15.529411764705884,19.529411764705884
,,,,,,,,14.882352941176471,18.76470588235294
,,,,,,,,14.11764705882353,18.294117647058822
,,,,,,,,13.411764705882353,18.176470588235297
,,,,,,,,12.705882352941176,18.176470588235297
,,,,,,,,11.764705882352942,18.529411764705884
,,,,,,,,11.176470588235295,19.058823529411764
,,,,,,,,10.588235294117647,19.88235294117647
,,,,,,,,10.470588235294118,20.588235294117645
,,,,,,,,10.529411764705882,21.58823529411765
,,,,,,,,10.76470588235294,22.176470588235293
,,,,,,,,11.11764705882353,22.705882352941178
,,,,,,,,11.529411764705884,23.294117647058826
,,,,,,,,11.705882352941176,23.823529411764707
,,,,,,,,11.705882352941176,24.705882352941178
,,,,,,,,11.705882352941176,25.47058823529412
,,,,,,,,11.705882352941176,26.11764705882353
,,,,,,,,11.705882352941176,26.941176470588236
,,,,,,,,11.705882352941176,27.647058823529413
,,,,,,,,11.705882352941176,28.47058823529412
,,,,,,,,11.705882352941176,29
,,,,,,,,11.705882352941176,29.705882352941178
,,,,,,,,11.705882352941176,30.470588235294116
,,,,,,,,11.705882352941176,31.294117647058826
,,,,,,,,11.705882352941176,31.882352941176475
,,,,,,,,11.705882352941176,32.64705882352941
,,,,,,,,11.705882352941176,33.411764705882355
,,,,,,,,11.705882352941176,34.17647058823529
,,,,,,,,11.705882352941176,34.88235294117647
,,,,,,,,11.705882352941176,35.64705882352942
,,,,,,,,11.705882352941176,36.411764705882355
,,,,,,,,11.705882352941176,37.1764705882353
,,,,,,,,11.705882352941176,37.82352941176471
,,,,,,,,11.705882352941176,38.58823529411765
,,,,,,,,11.705882352941176,38.82352941176471
